member,Fy,span_in,total_asd_plf,live_asd_plf
1400S200-97,50,216,139.0,109.0
1400S200-97,50,228,120.0,87.0
1400S200-97,50,240,105.0,71.0
1400S200-97,50,252,92.0,58.0
1400S200-97,50,264,81.0,49.0
1400S250-97,50,72,840.0,840.0
1400S250-97,50,84,706.0,706.0
1400S250-97,50,96,602.0,602.0
1400S250-97,50,108,519.0,519.0
1400S250-97,50,120,452.0,452.0
1400S250-97,50,132,397.0,397.0
1400S250-97,50,144,352.0,352.0
1400S250-97,50,156,314.0,314.0
1400S250-97,50,168,282.0,282.0
1400S250-97,50,180,254.0,254.0
1400S250-97,50,192,210.0,200.0
1400S250-97,50,204,177.0,154.0
1400S250-97,50,216,150.0,121.0
1400S250-97,50,228,130.0,97.0
1400S250-97,50,240,113.0,79.0
1400S250-97,50,252,99.0,65.0
1400S250-97,50,264,88.0,54.0
1400S300-97,50,72,883.0,883.0
1400S300-97,50,84,742.0,742.0
1400S300-97,50,96,632.0,632.0
1400S300-97,50,108,545.0,545.0
1400S300-97,50,120,475.0,475.0
1400S300-97,50,132,417.0,417.0
1400S300-97,50,144,370.0,370.0
1400S300-97,50,156,330.0,330.0
1400S300-97,50,168,296.0,296.0
1400S300-97,50,180,267.0,267.0
1400S300-97,50,192,221.0,219.0
1400S300-97,50,204,185.0,169.0
1400S300-97,50,216,158.0,133.0
1400S300-97,50,228,136.0,106.0
1400S300-97,50,240,119.0,86.0
1400S300-97,50,252,104.0,71.0
1400S300-97,50,264,92.0,59.0
1400S200-118,50,72,1032.0,1032.0
1400S200-118,50,84,867.0,867.0
1400S200-118,50,96,739.0,739.0
1400S200-118,50,108,637.0,637.0
1400S200-118,50,120,555.0,555.0
1400S200-118,50,132,488.0,488.0
1400S200-118,50,144,432.0,432.0
1400S200-118,50,156,385.0,385.0
1400S200-118,50,168,346.0,341.0
1400S200-118,50,180,312.0,293.0
1400S200-118,50,192,258.0,220.0
1400S200-118,50,204,217.0,169.0
1400S200-118,50,216,185.0,133.0
1400S200-118,50,228,159.0,107.0
1400S200-118,50,240,139.0,87.0
1400S200-118,50,252,122.0,71.0
1400S200-118,50,264,108.0,60.0
1400S250-118,50,72,1116.0,1116.0
1400S250-118,50,84,938.0,938.0
1400S250-118,50,96,799.0,799.0
1400S250-118,50,108,689.0,689.0
1400S250-118,50,120,600.0,600.0
1400S250-118,50,132,528.0,528.0
1400S250-118,50,144,467.0,467.0
1400S250-118,50,156,417.0,417.0
1400S250-118,50,168,374.0,374.0
1400S250-118,50,180,338.0,325.0
1400S250-118,50,192,279.0,244.0
1400S250-118,50,204,235.0,188.0
1400S250-118,50,216,200.0,148.0
1400S250-118,50,228,172.0,119.0
1400S250-118,50,240,150.0,96.0
1400S250-118,50,252,132.0,79.0
1400S250-118,50,264,117.0,66.0
1400S300-118,50,72,1175.0,1175.0
1400S300-118,50,84,988.0,988.0
1400S300-118,50,96,842.0,842.0
1400S300-118,50,108,726.0,726.0
1400S300-118,50,120,632.0,632.0
1400S300-118,50,132,556.0,556.0
1400S300-118,50,144,492.0,492.0
1400S300-118,50,156,439.0,439.0
1400S300-118,50,168,394.0,394.0
1400S300-118,50,180,356.0,356.0
1400S300-118,50,192,294.0,269.0
1400S300-118,50,204,247.0,207.0
1400S300-118,50,216,210.0,163.0
1400S300-118,50,228,181.0,131.0
1400S300-118,50,240,158.0,106.0
1400S300-118,50,252,139.0,87.0
1400S300-118,50,264,123.0,73.0
1600S200-97,50,72,874.0,874.0
1600S200-97,50,84,734.0,734.0
1600S200-97,50,96,626.0,626.0
1600S200-97,50,108,539.0,539.0
1600S200-97,50,120,470.0,470.0
1600S200-97,50,132,413.0,413.0
1600S200-97,50,144,366.0,366.0
1600S200-97,50,156,326.0,326.0
1600S200-97,50,168,293.0,293.0
1600S200-97,50,180,264.0,264.0
1600S200-97,50,192,218.0,218.0
1600S200-97,50,204,184.0,184.0
1600S200-97,50,216,156.0,149.0
1600S200-97,50,228,135.0,119.0
1600S200-97,50,240,117.0,97.0
1600S200-97,50,252,103.0,80.0
1600S200-97,50,264,91.0,67.0
1600S250-97,50,72,951.0,951.0
1600S250-97,50,84,799.0,799.0
1600S250-97,50,96,681.0,681.0
1600S250-97,50,108,587.0,587.0
1600S250-97,50,120,511.0,511.0
1600S250-97,50,132,450.0,450.0
1600S250-97,50,144,398.0,398.0
1600S250-97,50,156,355.0,355.0
1600S250-97,50,168,319.0,319.0
1600S250-97,50,180,288.0,288.0
1600S250-97,50,192,238.0,238.0
1600S250-97,50,204,200.0,200.0
1600S250-97,50,216,170.0,166.0
1600S250-97,50,228,147.0,133.0
1600S250-97,50,240,128.0,108.0
1600S250-97,50,252,112.0,89.0
1600S250-97,50,264,100.0,74.0
1600S300-97,50,72,1006.0,1006.0
1600S300-97,50,84,845.0,845.0
1600S300-97,50,96,720.0,720.0
1600S300-97,50,108,621.0,621.0
1600S300-97,50,120,541.0,541.0
1600S300-97,50,132,475.0,475.0
1600S300-97,50,144,421.0,421.0
1600S300-97,50,156,376.0,376.0
1600S300-97,50,168,337.0,337.0
1600S300-97,50,180,304.0,304.0
1600S300-97,50,192,251.0,251.0
1600S300-97,50,204,211.0,211.0
1600S300-97,50,216,180.0,180.0
1600S300-97,50,228,155.0,145.0
1600S300-97,50,240,135.0,118.0
1600S300-97,50,252,119.0,97.0
1600S300-97,50,264,105.0,81.0
1600S200-118,50,72,1170.0,1170.0
1600S200-118,50,84,983.0,983.0
1600S200-118,50,96,837.0,837.0
1600S200-118,50,108,722.0,722.0
1600S200-118,50,120,629.0,629.0
1600S200-118,50,132,553.0,553.0
1600S200-118,50,144,490.0,490.0
1600S200-118,50,156,437.0,437.0
1600S200-118,50,168,392.0,392.0
1600S200-118,50,180,354.0,354.0
1600S200-118,50,192,292.0,292.0
1600S200-118,50,204,246.0,234.0
1600S200-118,50,216,209.0,184.0
1600S200-118,50,228,181.0,148.0
1600S200-118,50,240,157.0,120.0
1600S200-118,50,252,138.0,99.0
1600S200-118,50,264,122.0,82.0
1600S250-118,50,72,1274.0,1274.0
1600S250-118,50,84,1071.0,1071.0
1600S250-118,50,96,912.0,912.0
1600S250-118,50,108,787.0,787.0
1600S250-118,50,120,685.0,685.0
1600S250-118,50,132,602.0,602.0
1600S250-118,50,144,533.0,533.0
1600S250-118,50,156,476.0,476.0
1600S250-118,50,168,427.0,427.0
1600S250-118,50,180,385.0,385.0
1600S250-118,50,192,319.0,319.0
1600S250-118,50,204,268.0,259.0
1600S250-118,50,216,228.0,204.0
1600S250-118,50,228,197.0,163.0
1600S250-118,50,240,171.0,133.0
1600S250-118,50,252,151.0,109.0
1600S250-118,50,264,133.0,91.0
1600S300-118,50,72,1349.0,1349.0
1600S300-118,50,84,1134.0,1134.0
1600S300-118,50,96,966.0,966.0
1600S300-118,50,108,833.0,833.0
1600S300-118,50,120,726.0,726.0
1600S300-118,50,132,638.0,638.0
1600S300-118,50,144,565.0,565.0
1600S300-118,50,156,504.0,504.0
1600S300-118,50,168,452.0,452.0
1600S300-118,50,180,408.0,408.0
1600S300-118,50,192,337.0,337.0
1600S300-118,50,204,283.0,283.0
1600S300-118,50,216,241.0,224.0
1600S300-118,50,228,208.0,179.0
1600S300-118,50,240,181.0,146.0
1600S300-118,50,252,159.0,120.0
1600S300-118,50,264,141.0,100.0
1600S350-118,50,72,1633.0,1633.0
1600S350-118,50,84,1372.0,1372.0
1600S350-118,50,96,1169.0,1169.0
1600S350-118,50,108,1008.0,1008.0
1600S350-118,50,120,878.0,878.0
1600S350-118,50,132,772.0,772.0
1600S350-118,50,144,684.0,684.0
1600S350-118,50,156,610.0,610.0
1600S350-118,50,168,547.0,547.0
1600S350-118,50,180,494.0,494.0
1600S350-118,50,192,408.0,408.0
1600S350-118,50,204,343.0,324.0
1600S350-118,50,216,292.0,255.0
1600S350-118,50,228,252.0,204.0
1600S350-118,50,240,220.0,166.0
1600S350-118,50,252,193.0,137.0
1600S350-118,50,264,171.0,114.0
